timestamp,frame_number,car_id,plate_text,confidence
2026-03-02 22:30:45,0,2,KHN991,0.806
2026-03-02 22:30:45,0,2,KAA560,0.746
2026-03-02 22:30:46,1,2,KHN991,0.772
2026-03-02 22:30:46,1,2,KAA560,0.752
2026-03-02 22:30:47,2,2,KHN991,0.798
2026-03-02 22:30:47,2,2,KAA560,0.745
2026-03-02 22:30:49,3,2,KHN991,0.786
2026-03-02 22:30:49,3,2,KAA560,0.738
2026-03-02 22:30:50,4,2,KHN991,0.78
2026-03-02 22:30:50,4,2,KAA560,0.735
2026-03-02 22:30:51,5,2,KHN991,0.79
2026-03-02 22:30:51,5,2,KAA560,0.74
2026-03-02 22:30:52,6,2,KHN991,0.769
2026-03-02 22:30:52,6,2,KAA560,0.722
2026-03-02 22:30:53,7,2,KHN991,0.808
2026-03-02 22:30:53,7,2,KAA560,0.751
2026-03-02 22:30:54,8,2,KHN991,0.804
2026-03-02 22:30:54,8,2,KAA560,0.743
2026-03-02 22:30:55,9,2,KHN991,0.812
2026-03-02 22:30:55,9,2,KAA560,0.75
2026-03-02 22:30:55,9,7,,0.507
2026-03-02 22:30:56,10,2,KHN991,0.802
2026-03-02 22:30:56,10,2,KAA560,0.749
2026-03-02 22:30:58,11,2,KHN991,0.811
2026-03-02 22:30:58,11,2,KAA560,0.757
2026-03-02 22:30:59,12,2,KHN991,0.815
2026-03-02 22:30:59,12,2,KAA560,0.766
2026-03-02 22:31:00,13,2,KHN991,0.807
2026-03-02 22:31:00,13,2,KAA560,0.755
2026-03-02 22:31:01,14,2,KHN991,0.81
2026-03-02 22:31:01,14,2,KAA560,0.733
2026-03-02 22:31:01,14,2,MFZ444,0.56
2026-03-02 22:31:03,15,2,KHN991,0.801
2026-03-02 22:31:03,15,2,KAA560,0.753
2026-03-02 22:31:04,16,2,KHN991,0.799
2026-03-02 22:31:04,16,2,KAA560,0.757
2026-03-02 22:31:05,17,2,KHN991,0.804
2026-03-02 22:31:05,17,2,KAA560,0.759
2026-03-02 22:31:06,18,2,KHN991,0.794
2026-03-02 22:31:06,18,2,KAA560,0.744
2026-03-02 22:31:07,19,2,KHN991,0.787
2026-03-02 22:31:07,19,2,KAA560,0.747
2026-03-02 22:31:08,20,2,KHN991,0.79
2026-03-02 22:31:08,20,2,KAA560,0.754
2026-03-02 22:31:09,21,2,KHN991,0.778
2026-03-02 22:31:09,21,2,KAA560,0.756
2026-03-02 22:31:11,22,2,KHN991,0.802
2026-03-02 22:31:11,22,2,KAA560,0.741
2026-03-02 22:31:12,23,2,KHN991,0.788
2026-03-02 22:31:12,23,2,KAA560,0.748
2026-03-02 22:31:13,24,2,KHN991,0.796
2026-03-02 22:31:13,24,2,KAA560,0.761
2026-03-02 22:31:14,25,2,KHN991,0.794
2026-03-02 22:31:14,25,2,KAA560,0.761
2026-03-02 22:31:15,26,2,KHN991,0.806
2026-03-02 22:31:15,26,2,KAA560,0.781
2026-03-02 22:31:16,27,2,KHN991,0.79
2026-03-02 22:31:16,27,2,KAA560,0.775
2026-03-02 22:31:17,28,2,KHN991,0.771
2026-03-02 22:31:17,28,2,KAA560,0.761
2026-03-02 22:31:19,29,2,HN991,0.789
2026-03-02 22:31:19,29,2,KAA560,0.746
2026-03-02 22:31:20,30,2,HN991,0.774
2026-03-02 22:31:20,30,2,KAA560,0.746
2026-03-02 22:31:21,31,2,HN991,0.757
